time_s,alt_left_m,alt_right_m,alt_lightware_m
1779965955.107556,0.42038193345069885,0.6402661800384521,0.68
1779965955.139568,0.40017592906951904,0.6595501899719238,0.7
1779965955.1715553,0.5154960751533508,0.5501458644866943,0.7
1779965955.2039723,0.46947556734085083,0.3098251521587372,0.75
1779965955.2355704,0.600084662437439,0.6673099398612976,0.76
1779965955.2676249,0.6638526320457458,0.6190613508224487,0.78
1779965955.2996821,0.6617013812065125,0.718938946723938,0.79
1779965955.3329682,0.58594810962677,0.7149438261985779,0.85
1779965955.3634791,0.6624696850776672,0.6634684801101685,0.99
1779965955.3954923,0.830801784992218,0.7705679535865784,1.04
1779965955.4274838,0.9230732917785645,0.9860728979110718,1.08
1779965955.459811,1.080034613609314,0.9430487751960754,1.07
1779965955.4916213,1.2028071880340576,0.9833071231842041,1.17
1779965955.5238218,1.291928768157959,1.1777609586715698,1.2
1779965955.5554416,1.363917350769043,1.2326936721801758,1.28
1779965955.5874033,1.4257646799087524,1.2920055389404297,1.32
1779965955.6194208,1.472322940826416,1.3444796800613403,1.44
1779965955.6517127,1.5147324800491333,1.3870428800582886,1.45
1779965955.6833754,1.658402442932129,1.447737693786621,1.57
1779965955.7162764,1.7037315368652344,1.5150398015975952,1.61
1779965955.7474244,1.7870908975601196,1.482771635055542,1.66
1779965955.7794416,1.7731080055236816,1.5934052467346191,1.75
1779965955.811551,1.8447893857955933,1.5930979251861572,1.79
1779965955.8433497,1.8147492408752441,1.6874438524246216,1.86
1779965955.8753974,1.888504981994629,1.6938973665237427,1.84
1779965955.9074175,1.9403644800186157,1.750136137008667,1.79
1779965955.9395514,1.9160096645355225,1.7869372367858887,1.91
1779965955.97129,1.9554997682571411,1.8168236017227173,1.96
1779965956.0032868,1.8901183605194092,1.8062212467193604,1.9
1779965956.0353267,1.8837416172027588,1.8139041662216187,1.92
1779965956.067281,1.9161633253097534,1.7980005741119385,1.92
1779965956.0992866,1.8415625095367432,1.7784860134124756,1.91
1779965956.131499,1.8617684841156006,1.7545154094696045,
1779965956.1632454,1.8374137878417969,1.7600470781326294,1.91
1779965956.1953661,1.7722629308700562,1.726396083831787,1.83
1779965956.2275913,1.7346935272216797,1.7010425329208374,1.81
1779965956.2592573,1.6839865446090698,1.6688512563705444,1.77
1779965956.2912414,1.6242904663085938,0.3096714913845062,1.78
1779965956.3242328,1.556450605392456,1.5387030839920044,1.62
1779965956.3551707,1.4848459959030151,1.5154238939285278,
1779965956.3871465,1.4363670349121094,1.4525779485702515,
1779965956.4195504,1.345017433166504,1.383278250694275,1.54
1779965956.451536,1.296692132949829,1.3203554153442383,1.49
1779965956.483232,1.2061108350753784,1.2657300233840942,1.38
1779965956.515192,1.1412672996520996,1.2044974565505981,1.3
1779965956.547191,1.061518907546997,1.1521769762039185,1.19
1779965956.5790918,1.0096594095230103,1.1087687015533447,1.1
1779965956.611104,0.9610267281532288,1.0671274662017822,1.08
1779965956.6433551,0.9092440605163574,1.0018997192382812,1.06
1779965956.675137,0.8721356987953186,0.9481194615364075,1.1
1779965956.707224,0.8419419527053833,0.9067855477333069,0.94
1779965956.7391284,0.7972275614738464,0.8669113516807556,0.95
1779965956.7711325,0.7800179123878479,0.8407895565032959,0.95
1779965956.8031614,0.77003014087677,0.8089823722839355,0.88
1779965956.8352947,0.7573533654212952,0.7790191173553467,0.87
1779965956.8670855,0.745752215385437,0.6314308047294617,0.83
1779965956.8990166,0.7202450037002563,0.6320454478263855,0.8
1779965956.931366,0.6464892625808716,0.6205211281776428,0.82
1779965956.962977,0.6881305575370789,0.6769134998321533,0.8
1779965956.9950337,0.7303864359855652,0.5893285870552063,0.78
1779965957.0269656,0.7273132801055908,0.6471039056777954,0.8
1779965957.0589583,0.7450607419013977,0.7064926624298096,0.8
1779965957.090919,0.745752215385437,0.7810166478157043,0.8
1779965957.1229532,0.7626545429229736,0.7694923281669617,0.85
1779965957.1553698,0.780632495880127,0.8522370457649231,0.9
1779965957.1868985,0.802067756652832,0.8432480692863464,0.91
1779965957.2191834,0.8056787252426147,0.888884425163269,0.94
1779965957.250923,0.8571540713310242,0.30913370847702026,0.99
1779965957.2828703,0.8906514644622803,0.9456609487533569,1.03
1779965957.315123,0.9548035860061646,0.9734730124473572,1.07
1779965957.3471115,1.004050850868225,1.0118874311447144,1.1
1779965957.378846,1.050071358680725,1.0452312231063843,1.14
1779965957.4110918,1.1060796976089478,1.0891772508621216,1.17
1779965957.4429624,1.1595525741577148,1.0745798349380493,1.2
1779965957.4748032,1.158630609512329,1.1442636251449585,1.23
1779965957.5068338,1.2439874410629272,1.1761475801467896,1.23
1779965957.539095,1.2787141799926758,0.310439795255661,1.27
1779965957.5709424,1.3115968704223633,1.2521313428878784,1.34
1779965957.6029606,1.3245041370391846,1.3036835193634033,1.41
1779965957.6347916,1.318742036819458,1.3553893566131592,1.39
1779965957.6670153,1.378053903579712,1.388733148574829,1.44
1779965957.6987598,1.3837392330169678,1.4685583114624023,1.45
1779965957.7307694,1.4190037250518799,1.4299901723861694,1.52
1779965957.7627528,1.4091695547103882,1.4539607763290405,1.52
1779965957.7947342,1.4424364566802979,1.4924521446228027,1.55
1779965957.8267336,1.4127037525177002,1.4972922801971436,1.57
1779965957.8588197,1.4490437507629395,1.5113520622253418,1.54
1779965957.8907475,1.4774705171585083,1.4709399938583374,1.58
1779965957.9227076,1.4754729270935059,1.4858448505401611,1.56
1779965957.9547367,1.4857679605484009,1.4929131269454956,1.55
1779965957.98669,1.4999045133590698,1.4597997665405273,1.51
1779965958.0191016,1.482617974281311,0.31067028641700745,1.49
1779965958.0507019,1.460721731185913,1.4637949466705322,1.51
1779965958.082702,1.4650242328643799,1.4597229957580566,1.53
1779965958.1148093,1.4853838682174683,1.41739022731781,1.54
1779965958.1468449,1.4577254056930542,1.388041615486145,1.51
1779965958.1786292,1.436904788017273,1.396492838859558,
1779965958.210685,1.4385950565338135,1.385813593864441,1.48
1779965958.2426665,1.4314500093460083,1.3493199348449707,1.38
1779965958.2748024,1.4277621507644653,1.3540064096450806,
1779965958.3066096,1.3545442819595337,1.3087542057037354,1.36
1779965958.3386562,1.397261142730713,1.2825555801391602,1.36
1779965958.3706255,1.3617662191390991,0.27087292075157166,
1779965958.402659,1.3189724683761597,1.258584976196289,1.44
1779965958.4347262,1.3178200721740723,1.2524386644363403,1.31
1779965958.4665878,1.287933588027954,1.2360740900039673,1.35
1779965958.4985538,1.2729519605636597,0.31174588203430176,1.36
1779965958.5305786,1.2497496604919434,1.2063413858413696,1.26
1779965958.5625324,1.2339229583740234,1.1841378211975098,1.31
1779965958.59451,1.229236364364624,1.1713073253631592,1.21
1779965958.626702,1.2081084251403809,0.2703351080417633,1.24
1779965958.6584957,1.1806036233901978,1.1361966133117676,1.17
1779965958.690495,1.1550965309143066,0.3112848997116089,
1779965958.7225835,1.1404989957809448,1.0688945055007935,
1779965958.7544723,1.118295431137085,1.0365495681762695,
1779965958.7864487,1.0914053916931152,1.0403140783309937,1.12
1779965958.8184593,1.0558335781097412,1.0100435018539429,
1779965958.850473,1.0224897861480713,1.0239496231079102,
1779965958.8824089,0.9912204742431641,0.9880704879760742,
1779965958.9144037,0.9642535448074341,0.9599511027336121,
1779965958.9466512,0.9415889978408813,0.310439795255661,
1779965958.9784036,0.930756151676178,0.9247635006904602,
1779965959.0106583,0.8875014781951904,0.8994099497795105,0.94
1779965959.042393,0.8590748310089111,0.8858880996704102,
1779965959.0743933,0.8299566507339478,0.8841210007667542,
1779965959.1066306,0.8222737908363342,0.8637613654136658,
1779965959.1388295,0.7787886261940002,0.8516224026679993,0.92
1779965959.1703672,0.7701069712638855,0.3085958957672119,0.88
1779965959.2023895,0.7605801820755005,0.8241176605224609,0.94
1779965959.23481,0.7762532830238342,0.8164348006248474,
1779965959.2663248,0.8060628771781921,0.8103653192520142,
1779965959.2983456,0.7977653741836548,0.8175871968269348,
1779965959.3304493,0.8529285192489624,0.8347969055175781,
1779965959.3622887,0.8345664143562317,0.9016380310058594,
1779965959.3942883,0.0,0.9281439781188965,
1779965959.4103231,0.89695143699646,0.9357500076293945,
1779965959.4422908,0.9040197134017944,0.9839985370635986,
1779965959.4742558,0.9656364917755127,1.010581374168396,
1779965959.5072358,0.98899245262146,1.048995852470398,
1779965959.5385013,1.0355507135391235,1.0917894840240479,1.16
1779965959.570244,1.0593676567077637,1.121675968170166,1.06
1779965959.6022568,1.107155203819275,1.1534830331802368,1.17
1779965959.6344116,1.145108699798584,1.1826781034469604,1.25
1779965959.666219,1.20157790184021,1.2323094606399536,1.38
1779965959.6982024,1.2335387468338013,1.2870116233825684,1.3
1779965959.7302191,1.2625800371170044,1.3258870840072632,1.33
1779965959.762179,1.2569715976715088,1.3521625995635986,1.36
1779965959.794167,1.271569013595581,1.3822026252746582,1.35
1779965959.8263412,1.310675024986267,1.3899623155593872,1.49
1779965959.858138,1.3108285665512085,1.407556176185608,1.47
1779965959.890152,1.33963942527771,1.4067111015319824,
1779965959.9222755,1.3765172958374023,1.4090927839279175,
1779965959.9541454,1.3700636625289917,0.3101324737071991,
1779965959.9861367,1.4233828783035278,1.4331401586532593,
1779965960.0180984,1.4373657703399658,1.4512717723846436,
1779965960.0501096,1.4492743015289307,1.420232892036438,
1779965960.0820987,1.4969849586486816,1.4184658527374268,
1779965960.1141076,1.5157312154769897,1.450273036956787,
1779965960.1461034,1.5507652759552002,1.3933428525924683,
1779965960.178083,1.472015619277954,1.3895014524459839,1.64
1779965960.210165,1.561137080192566,1.4097074270248413,
1779965960.2421567,1.4752423763275146,1.3984904289245605,
1779965960.2740555,1.563826084136963,1.3839696645736694,
1779965960.3070028,1.5361677408218384,0.27202534675598145,
1779965960.3380907,1.5520713329315186,1.369986891746521,
1779965960.3700588,1.5231068134307861,1.345862627029419,
1779965960.402719,1.4987521171569824,0.27340826392173767,
1779965960.4340656,1.5178824663162231,1.3474760055541992,
1779965960.466027,1.5201104879379272,1.2824788093566895,
1779965960.49818,1.4956789016723633,1.2724909782409668,
1779965960.5299726,1.4652546644210815,1.2880104780197144,
1779965960.5619957,1.4461243152618408,1.2556655406951904,
1779965960.5940683,1.3889635801315308,1.2363814115524292,
1779965960.6261466,1.4092464447021484,1.2086461782455444,
1779965960.6580188,1.3599222898483276,1.2115657329559326,
1779965960.689994,1.3192030191421509,1.1872878074645996,
1779965960.7221096,1.2824019193649292,1.218941330909729,
1779965960.7539346,1.2472143173217773,1.1358892917633057,
1779965960.7859068,1.2115657329559326,1.1547892093658447,
1779965960.818523,1.1796048879623413,1.1123796701431274,
1779965960.8499453,1.1405757665634155,1.0792664289474487,
1779965960.8820865,1.104005217552185,1.0579848289489746,1.17
1779965960.9139006,1.0604432821273804,1.0278679132461548,
1779965960.9459965,1.0224897861480713,1.010581374168396,
1779965960.9778862,0.9737035036087036,0.9996716976165771,
1779965961.0098877,0.9391304850578308,0.974855899810791,
1779965961.041885,0.8939551115036011,0.9483499526977539,
1779965961.0738308,0.8924185633659363,0.30882638692855835,
1779965961.106368,0.8202762007713318,0.30951786041259766,
1779965961.13792,0.8019909262657166,0.9392073154449463,
1779965961.1698914,0.8156664967536926,0.9329073429107666,
1779965961.202649,0.8221201300621033,0.9173879027366638,
1779965961.2344322,0.8215823173522949,0.9273756742477417,
1779965961.266105,0.8392529487609863,0.9103965163230896,
1779965961.2978003,0.8493175506591797,0.31028613448143005,
1779965961.3297777,0.8627625703811646,0.30890321731567383,0.72
1779965961.3618948,0.8511614203453064,0.9235342144966125,0.94
1779965961.3937585,0.8725966811180115,0.27194851636886597,1.02
1779965961.4257154,0.8911124467849731,0.9288354516029358,
1779965961.4577205,0.906478226184845,0.31366661190986633,
1779965961.489722,0.8651443123817444,0.31251418590545654,
1779965961.521751,0.8881161212921143,0.2706424295902252,
1779965961.5537283,0.9054026007652283,0.3111312687397003,
1779965961.5856497,0.9427414536476135,0.3112080693244934,0.99
1779965961.6176584,0.9800034761428833,0.31059345602989197,
1779965961.6496642,0.9918351173400879,1.054373860359192,
1779965961.6816325,1.0307105779647827,1.0804188251495361,
1779965961.714357,1.070431113243103,1.1052345037460327,
1779965961.7456071,1.107693076133728,1.1164515018463135,
1779965961.7776647,1.1471062898635864,1.1474136114120483,
1779965961.809894,1.1579391956329346,1.1351209878921509,
1779965961.841849,1.1812182664871216,1.0721981525421143,
1779965961.873577,1.2065718173980713,1.0611348152160645,
1779965961.9058652,1.2283143997192383,0.30874955654144287,
1779965961.9376745,1.2524386644363403,1.117988109588623,
1779965961.969536,1.2635788917541504,1.155711054801941,
1779965962.0035431,1.2814799547195435,1.1923584938049316,
1779965962.034051,1.2938494682312012,1.2252413034439087,
1779965962.0655167,1.294156789779663,1.2509020566940308,1.28
1779965962.0975714,1.302377462387085,1.280173897743225,1.35
1779965962.1296325,1.30475914478302,1.2818641662597656,1.39
1779965962.1614895,1.3105213642120361,1.244755744934082,1.34
1779965962.1935015,1.321431040763855,1.267343521118164,
1779965962.225597,1.3212004899978638,1.2970762252807617,
1779965962.2574904,1.3000725507736206,1.33172607421875,
1779965962.2894719,1.3179737329483032,1.3273468017578125,1.39
1779965962.321474,1.3059115409851074,1.3173590898513794,1.4
1779965962.353442,1.2979981899261475,1.3224297761917114,1.42
1779965962.3854187,1.291775107383728,1.3528540134429932,1.39
1779965962.4177308,1.288394570350647,1.3112895488739014,1.38
1779965962.449431,1.267958164215088,1.3135944604873657,1.37
1779965962.4813986,1.2845531702041626,1.305220127105713,1.4
1779965962.5136209,1.2626569271087646,1.3119810819625854,1.25
1779965962.5454037,1.2101060152053833,1.3066798448562622,
1779965962.5773644,1.2170205116271973,1.323659062385559,
1779965962.609375,1.1880561113357544,1.31743586063385,
1779965962.6413505,1.22385835647583,1.313517689704895,
1779965962.6733375,1.1610122919082642,1.3122884035110474,
1779965962.7054005,1.1938951015472412,1.3045287132263184,
1779965962.7373376,1.2175583839416504,1.2916982173919678,
1779965962.769314,1.170539140701294,1.250671625137329,
1779965962.8016195,1.1388087272644043,1.2552045583724976,
1779965962.8344402,1.1653915643692017,1.2330777645111084,1.27
1779965962.8654242,0.0,1.2165595293045044,
1779965962.8812819,0.0,1.2165595293045044,
1779965962.89735,1.1826012134552002,1.1903609037399292,
1779965962.9295878,1.2503643035888672,1.1711536645889282,
1779965962.9612741,1.2569715976715088,1.2870116233825684,
1779965962.9934108,1.186058521270752,1.1643928289413452,
1779965963.025376,1.185904860496521,0.30913370847702026,
1779965963.0574343,1.1863658428192139,1.250978946685791,
1779965963.089209,1.1731512546539307,1.2334619760513306,
1779965963.1211998,1.1661598682403564,1.220170497894287,
1779965963.1532273,1.1639318466186523,1.2067254781723022,
1779965963.1851695,1.1763781309127808,1.2091071605682373,
1779965963.2171633,1.1957389116287231,1.220938801765442,
1779965963.2491603,1.216252326965332,1.2873958349227905,
1779965963.2811425,1.2263168096542358,1.2445253133773804,
1779965963.3131893,1.2562800645828247,1.2625032663345337,
1779965963.345188,1.3057578802108765,1.2667288780212402,
1779965963.3771162,1.3019932508468628,1.2452936172485352,1.3
1779965963.4091465,1.3321101665496826,1.2441411018371582,1.39
1779965963.4411774,1.347245454788208,1.2253949642181396,1.26
1779965963.4730692,1.3656076192855835,1.2167131900787354,
1779965963.505207,1.2809422016143799,1.2247034311294556,
