time_s,lat_deg,lon_deg,alt_m
1779966208.8649118,41.15125674183103,-8.700762035291765,56.89741217531264
1779966208.9049256,41.151257946505446,-8.700761724124503,56.830863018520176
1779966208.9449325,41.15125914822619,-8.700761424816367,56.76783899124712
1779966208.9847298,41.151260343063555,-8.700761125516964,56.70815692655742
1779966209.0246003,41.1512615297529,-8.700760827350457,56.65297588799149
1779966209.0644906,41.1512627071,-8.700760531804821,56.604036905802786
1779966209.1045527,41.15126388377955,-8.700760232932584,56.56034035142511
1779966209.1449325,41.15126505674419,-8.70075992945003,56.522729681804776
1779966209.1849558,41.15126622556222,-8.700759626807494,56.49130173120648
1779966209.225002,41.15126738853365,-8.70075932190955,56.466901297681034
1779966209.2648952,41.15126854700556,-8.700759009491914,56.44955345336348
1779966209.304765,41.151269701985946,-8.700758693623072,56.43775331694633
1779966209.3447394,41.1512708561341,-8.700758377525396,56.43247509934008
1779966209.3846066,41.151272008642245,-8.700758073764653,56.43256697896868
1779966209.424511,41.151273161053105,-8.700757776765528,56.43760733958334
1779966209.4644306,41.151274314938114,-8.700757479055193,56.446563275530934
1779966209.5043428,41.15127547057319,-8.700757192005433,56.458320362493396
1779966209.5447378,41.15127662446871,-8.700756913976907,56.47391480579972
1779966209.5849595,41.15127778035046,-8.700756645299222,56.49206253141165
1779966209.6249986,41.15127893587073,-8.700756366926624,56.512120980769396
1779966209.6649463,41.15128008736256,-8.700756072040383,56.53452929574996
1779966209.7049744,41.151281238114834,-8.700755778558387,56.55867707077414
1779966209.7449358,41.151282390065184,-8.700755480465448,56.58353852573782
1779966209.7847884,41.15128353899887,-8.700755181642112,56.60988250654191
1779966209.8249054,41.151284688512355,-8.700754888291804,56.636715213768184
1779966209.8647435,41.15128584195943,-8.700754600084736,56.66325826384127
1779966209.9047031,41.151286992985455,-8.700754316228165,56.68998608645052
1779966209.9445994,41.15128815256211,-8.700754030249,56.71498706843704
1779966209.9846382,41.151289317960064,-8.700753754870021,56.738263978622854
1779966210.0249705,41.15129048851345,-8.700753478353114,56.759285665117204
1779966210.065115,41.151291667881424,-8.7007531921077,56.77715091407299
1779966210.1050427,41.15129285657255,-8.700752908823771,56.79166153818369
1779966210.1451104,41.15129405541675,-8.70075261913078,56.80229568481445
1779966210.1849232,41.15129525793173,-8.700752315526959,56.81017604377121
1779966210.2248397,41.15129646309518,-8.700751998088885,56.815006447955966
1779966210.264848,41.151297668845345,-8.70075167103431,56.81648898310959
1779966210.3046713,41.15129888131941,-8.700751336346322,56.8157291598618
1779966210.3445976,41.15130009703706,-8.70075099358583,56.8132342947647
1779966210.3845124,41.151301308604275,-8.70075064169172,56.80916842073202
1779966210.424643,41.15130251631736,-8.700750279286504,56.803692487068474
1779966210.465007,41.15130372177236,-8.700749912653015,56.79787840042263
1779966210.505013,41.15130491522627,-8.7007495540055,56.792679691687226
1779966210.544986,41.15130610637665,-8.70074921265384,56.78783165849745
1779966210.584935,41.15130729353358,-8.700748880870266,56.783254235982895
1779966210.6249394,41.15130848328666,-8.700748568757277,56.77867786679417
1779966210.664767,41.151309679823775,-8.700748282845032,56.77356148511171
1779966210.7046576,41.15131087106268,-8.700748008260843,56.76852410566062
1779966210.7445564,41.15131206874387,-8.700747747678859,56.762327229604125
1779966210.7844326,41.151313268804884,-8.700747505197084,56.75592742022127
1779966210.8243868,41.151314470498576,-8.700747274329222,56.74989574495703
1779966210.8648305,41.15131567680047,-8.700747047456064,56.74369590450078
1779966210.904927,41.151316875115334,-8.700746821777113,56.73771963454783
1779966210.9449468,41.15131807688951,-8.700746598386301,56.73241779860109
1779966210.9850016,41.1513192699838,-8.700746374886117,56.72870943322778
1779966211.0249438,41.15132045603168,-8.700746149505816,56.7264024335891
1779966211.064816,41.15132163783849,-8.70074592142169,56.72593429964036
1779966211.1046817,41.15132280879027,-8.700745689532196,56.728321097791195
1779966211.144744,41.151323982022966,-8.700745463284914,56.732067512348294
1779966211.1845481,41.15132514661502,-8.70074523425505,56.73794443719089
1779966211.224472,41.15132630370862,-8.70074499379897,56.745371299795806
1779966211.2647114,41.15132745831797,-8.700744740819212,56.75396169908345
1779966211.3049319,41.151328599757164,-8.700744474153954,56.765083755366504
1779966211.3449805,41.15132973699749,-8.700744189669871,56.77822845708579
1779966211.3849206,41.15133086259762,-8.700743876544648,56.79328561760485
1779966211.424993,41.15133197916576,-8.700743532363077,56.81011713296175
1779966211.4650397,41.15133309012829,-8.700743156651656,56.82849779445678
1779966211.5048788,41.15133419112782,-8.700742755966807,56.84801185037941
1779966211.5448704,41.15133529598863,-8.70074235557219,56.867239338345826
1779966211.5847316,41.151336398318996,-8.700741951616774,56.88679989986122
1779966211.6247768,41.15133749824486,-8.700741529360167,56.90585500001907
1779966211.6646764,41.151338601723666,-8.70074109273736,56.92350823432207
1779966211.7045412,41.15133970522813,-8.700740653460837,56.93966241180897
1779966211.7445593,41.151340808231325,-8.700740213059678,56.95481611229479
1779966211.7844212,41.15134191486396,-8.700739768726347,56.96814829483628
1779966211.8243597,41.1513430287999,-8.700739321887909,56.9787473520264
1779966211.8647382,41.15134415009761,-8.700738876917558,56.986634098924696
1779966211.9049232,41.151345275995716,-8.700738437776396,56.991695133037865
1779966211.9449322,41.1513464084364,-8.700738000892,56.99390347022563
1779966211.9848633,41.15134754877976,-8.70073757057016,56.99257878027856
1779966212.0248497,41.15134869645133,-8.70073715382898,56.98767898790538
1779966212.0647569,41.15134984940767,-8.70073674988193,56.97942140791565
1779966212.1046662,41.15135101554158,-8.700736356544967,56.96722708456218
1779966212.144638,41.15135219090598,-8.70073597959161,56.95174133870751
1779966212.1845543,41.15135337566985,-8.700735621267564,56.93274004757404
1779966212.2244582,41.15135456753661,-8.700735284094785,56.911028447560966
1779966212.2644217,41.15135576502297,-8.700734969482353,56.887422466650605
1779966212.3047512,41.15135696700351,-8.700734675176873,56.862011790275574
1779966212.3449295,41.151358165468324,-8.70073440084149,56.836637516506016
1779966212.384895,41.15135936218399,-8.700734146501928,56.812406877055764
1779966212.424856,41.15136055499695,-8.700733909781793,56.79038667678833
1779966212.4647963,41.15136173820656,-8.700733682185717,56.77157189603895
1779966212.5046802,41.151362906490775,-8.700733456236199,56.757324796169996
1779966212.5447025,41.151364053611026,-8.700733218782608,56.7490318370983
1779966212.584518,41.15136518131772,-8.700732951460633,56.74689113441855
1779966212.6244447,41.151366294169335,-8.700732661533864,56.7498615141958
1779966212.6647458,41.15136739433111,-8.700732362486251,56.757260624319315
1779966212.7049022,41.15136848561638,-8.700732041939299,56.768781546503305
1779966212.7449381,41.15136956987739,-8.700731705946767,56.78238076064736
1779966212.7849348,41.1513706520569,-8.700731343124408,56.79750622622669
1779966212.8249133,41.151371732578994,-8.700730958429025,56.81429130770266
1779966212.8648596,41.15137281162814,-8.700730560482064,56.83227971754968
1779966212.9046874,41.15137388921726,-8.700730136582196,56.85103974677622
1779966212.9446557,41.151374964934995,-8.700729690105053,56.86984662525356
1779966212.984481,41.15137604250343,-8.700729242085956,56.88868089672178
1779966213.0243685,41.151377123394234,-8.700728799451035,56.90649893786758
1779966213.064686,41.15137819851748,-8.700728345679739,56.92284833919257
1779966213.1048806,41.15137928401892,-8.700727865391109,56.93826712388545
1779966213.1449609,41.151380376469895,-8.700727387533993,56.9513101503253
1779966213.1849098,41.15138147699568,-8.700726917294036,56.96217954624444
1779966213.224872,41.151382580176204,-8.7007264416987,56.97108887229115
1779966213.2648015,41.151383687411055,-8.700725973840235,56.97736613918096
1779966213.3046947,41.151384809424,-8.700725524657344,56.98104938399047
1779966213.3447337,41.151385938658194,-8.700725096012208,56.982711462303996
1779966213.3846817,41.151387074004674,-8.700724679614066,56.982201378792524
1779966213.4246404,41.15138821907362,-8.700724283796932,56.978609898127615
1779966213.4645996,41.15138937118629,-8.700723917722238,56.97310212533921
1779966213.5044599,41.15139052576054,-8.700723588511849,56.96755139809102
1779966213.5448937,41.15139168575755,-8.700723294673063,56.96093767695129
1779966213.585019,41.151392844802835,-8.700723022129214,56.95439124852419
1779966213.625036,41.15139400365317,-8.700722759331518,56.948095546104014
1779966213.664997,41.15139516869299,-8.700722518184948,56.94088536128402
1779966213.704915,41.15139632501287,-8.700722291285835,56.93498654104769
1779966213.7449262,41.15139748127386,-8.700722059709669,56.93003532104194
1779966213.7848513,41.15139863319958,-8.700721828807879,56.92540049087256
1779966213.824947,41.15139977593839,-8.70072159319082,56.92404561769217
1779966213.8648856,41.15140090834996,-8.700721336217182,56.92650970257819
1779966213.904699,41.151402032800185,-8.700721064917062,56.93025890365243
1779966213.9445772,41.15140315751304,-8.700720787580792,56.93588916398585
1779966213.9844627,41.15140427021435,-8.700720483028435,56.94503132998943
1779966214.0247908,41.15140537835151,-8.700720157181747,56.95469709299505
1779966214.06489,41.1514064876989,-8.70071982426575,56.96489441860467
1779966214.1048784,41.15140759293822,-8.700719483055629,56.97701576072723
1779966214.1448417,41.15140870156823,-8.70071913923423,56.990249876864254
1779966214.18477,41.1514098089874,-8.700718781751522,57.00334297306836
1779966214.2246606,41.15141091341236,-8.700718406068692,57.01695018354803
1779966214.2646103,41.15141201635741,-8.700718021050198,57.03087631519884
1779966214.3045094,41.15141312203123,-8.70071762873892,57.04447955824435
1779966214.344524,41.15141422826968,-8.700717222372552,57.05854360666126
1779966214.384356,41.15141533132456,-8.70071679740986,57.07264871057123
1779966214.424689,41.151416432419175,-8.70071635302451,57.08622060529888
1779966214.4648886,41.15141753027763,-8.700715884731025,57.10044266004115
1779966214.5049193,41.151418617351474,-8.700715392395521,57.11509697139263
1779966214.5449045,41.15141970049291,-8.700714888715181,57.12960060685873
1779966214.584859,41.15142077841814,-8.700714367458367,57.14417932368815
1779966214.6248846,41.15142185220457,-8.700713835330687,57.15886225737631
1779966214.664716,41.15142292452206,-8.700713302487069,57.17296383623034
1779966214.7045765,41.15142399455283,-8.700712753328617,57.18628586642444
1779966214.7445579,41.15142506093475,-8.700712177030166,57.199294184334576
1779966214.7843704,41.151426119352855,-8.700711571164362,57.211727833375335
1779966214.8246877,41.15142716733855,-8.700710933671782,57.22433149535209
1779966214.864936,41.151428199486055,-8.700710259093261,57.238382768817246
1779966214.9049149,41.15142920453345,-8.700709536170509,57.25530999340117
1779966214.9448662,41.151430191500914,-8.70070877464224,57.27420493867248
1779966214.9847646,41.15143116146919,-8.700707986064806,57.29466151539236
1779966215.0246758,41.15143212025326,-8.700707202279439,57.315451039001346
1779966215.0645692,41.151433074071434,-8.70070643693642,57.336315201595426
1779966215.104455,41.151434027486424,-8.700705665637877,57.35586850531399
1779966215.1443608,41.15143498845659,-8.700704885426326,57.37121742591262
1779966215.1846278,41.15143595986763,-8.700704101277495,57.38171503320336
1779966215.224815,41.15143693703647,-8.70070333073232,57.388653946109116
1779966215.2648587,41.15143791874015,-8.700702586056485,57.39275887235999
1779966215.3048272,41.15143892049754,-8.700701860418498,57.391400954686105
1779966215.3449562,41.15143993474253,-8.700701153004612,57.385714987292886
1779966215.3848255,41.1514409604392,-8.70070045899646,57.37491843663156
1779966215.4247,41.15144199814561,-8.70069978574875,57.35947384219617
1779966215.4645665,41.15144304892377,-8.700699134061864,57.33928384445608
1779966215.5044181,41.151444118056595,-8.700698503323268,57.31269559264183
1779966215.5444155,41.15144520043535,-8.700697906630227,57.28154154215008
1779966215.5847533,41.15144629642125,-8.700697342506157,57.24584454484284
1779966215.6249292,41.15144740461181,-8.700696804765503,57.20518359076232
1779966215.6649337,41.15144852580253,-8.700696294946802,57.15966389328241
1779966215.7048788,41.15144966440017,-8.700695819417225,57.108672875911
1779966215.7448173,41.1514508088111,-8.700695375605013,57.054707179777324
1779966215.784724,41.151451965269075,-8.700694963802292,56.99745821394026
1779966215.824646,41.15145313128762,-8.700694585223774,56.93720429204404
1779966215.864578,41.151454299402374,-8.700694236350506,56.87698104698211
1779966215.9045208,41.15145547271712,-8.700693912228111,56.81740928534418
1779966215.9444199,41.15145664078071,-8.700693605248182,56.76013402547687
1779966215.9846425,41.151457807855195,-8.700693308319595,56.70641087181866
1779966216.0248604,41.15145896435882,-8.700693002365652,56.65929048322141
1779966216.064947,41.15146009649371,-8.700692658599058,56.62080263439566
1779966216.1049745,41.1514612269611,-8.700692286323365,56.58914583735168
1779966216.1449018,41.15146234430567,-8.700691906549027,56.56593832466751
1779966216.1847923,41.151463452006396,-8.70069149829463,56.55131511390209
1779966216.224811,41.15146455218828,-8.700691066489812,56.54383668024093
1779966216.2646687,41.15146564579405,-8.700690641377566,56.54326206725091
1779966216.3045514,41.151466748138894,-8.700690219193412,56.54926051478833
1779966216.3444684,41.15146784436137,-8.700689774797878,56.559629435651004
1779966216.3843286,41.151468942910235,-8.700689307044586,56.57405290007591
1779966216.424671,41.1514700414143,-8.700688834346613,56.59261162765324
1779966216.4649062,41.15147113580765,-8.700688355081073,56.61528145894408
1779966216.5049179,41.15147223482497,-8.700687850358378,56.640720292925835
1779966216.5449512,41.15147333186736,-8.700687334225519,56.66837972123176
1779966216.5848618,41.15147443223272,-8.70068682029816,56.69933817349374
1779966216.6248748,41.15147553681756,-8.700686308542432,56.73339430987835
1779966216.6647484,41.151476642267006,-8.70068577779489,56.76881360914558
1779966216.7046282,41.151477748142746,-8.700685222568575,56.80478046927601
1779966216.744584,41.151478864812034,-8.70068467200488,56.83987266290933
1779966216.7844567,41.15147998700955,-8.70068413021465,56.87572454381734
1779966216.8243568,41.151481117400515,-8.700683585590042,56.91055325884372
1779966216.864517,41.151482259362695,-8.700683029902848,56.94209532998502
1779966216.9047656,41.15148340915245,-8.70068246569662,56.97199342120439
1779966216.9448683,41.15148457350792,-8.700681913233934,56.99853666126728
1779966216.9848564,41.1514857478247,-8.700681365497891,57.02269160095602
1779966217.024796,41.15148692587735,-8.700680812367768,57.04410659521818
1779966217.0647066,41.15148810596477,-8.70068026502749,57.06272480171174
1779966217.104593,41.15148929719196,-8.700679722169829,57.08025544974953
1779966217.144508,41.15149048611584,-8.700679188942795,57.097027311101556
1779966217.1843743,41.151491675441555,-8.700678653597175,57.112741091288626
1779966217.2246006,41.15149286831493,-8.700678128241309,57.12641048524529
1779966217.2648098,41.15149405962239,-8.700677626447145,57.13820380624384
1779966217.3048518,41.15149526343024,-8.700677133683214,57.14873060025275
1779966217.3448715,41.15149647499331,-8.700676647276117,57.155923635698855
1779966217.3847966,41.15149769359211,-8.70067616493159,57.15981920622289
1779966217.4247136,41.15149891836829,-8.700675691864632,57.161079021170735
1779966217.464642,41.151500150463136,-8.700675231062808,57.159586388617754
1779966217.5045214,41.1515013892837,-8.700674779586306,57.154859544709325
1779966217.5445511,41.15150263244929,-8.700674330139405,57.147329764440656
1779966217.5843828,41.15150388009558,-8.70067388749108,57.137709696777165
1779966217.6243408,41.15150513186401,-8.700673453773272,57.12614959292114
1779966217.6649132,41.15150638522589,-8.700673018664355,57.11260759551078
1779966217.7049477,41.15150764237269,-8.70067257978754,57.09677191916853
1779966217.7449658,41.15150889680656,-8.7006721431932,57.079445000737906
1779966217.7848845,41.15151015860944,-8.700671718094346,57.06009103637189
1779966217.8248143,41.151511423536576,-8.700671293989872,57.03998027741909
1779966217.8647356,41.15151268574959,-8.700670859162209,57.01945327967405
1779966217.9046326,41.15151395073956,-8.700670420700366,56.99724754039198
1779966217.9445982,41.151515211260595,-8.700669973199222,56.975668168626726
1779966217.9844813,41.15151647234882,-8.700669533520735,56.954112173989415
1779966218.0243986,41.151517731843136,-8.700669108044096,56.93335192929953
1779966218.0643198,41.15151898005758,-8.700668689009563,56.914206283167005
1779966218.1044428,41.15152024108371,-8.70066827414782,56.89535224903375
1779966218.144742,41.15152149365424,-8.700667862815541,56.878735977225006
1779966218.1848311,41.15152274745482,-8.700667460921979,56.86374099366367
1779966218.2248495,41.1515240014378,-8.700667058169792,56.850436815992
1779966218.2648044,41.15152524990736,-8.70066663991785,56.838572225533426
1779966218.3047261,41.151526501825664,-8.700666213498677,56.82752617262304
1779966218.3446662,41.15152774799333,-8.700665782408255,56.81880916841328
1779966218.3845725,41.151528995941696,-8.70066535762856,56.8113967878744
1779966218.4245026,41.151530244658474,-8.700664928606972,56.805025906302035
1779966218.4645379,41.15153148901599,-8.70066448523054,56.800217238254845
1779966218.504392,41.151532736965905,-8.70066404302812,56.796533240005374
1779966218.5445225,41.151533981603585,-8.70066359354379,56.79435752239078
1779966218.584771,41.15153522397605,-8.700663135256383,56.794026530347764
1779966218.6248684,41.15153646297832,-8.700662665741651,56.79566347319633
1779966218.664872,41.15153769559307,-8.700662181362945,56.79932160396129
1779966218.7048147,41.15153892176076,-8.70066168228518,56.80580587591976
1779966218.7448866,41.151540130947865,-8.700661155790986,56.815051761455834
