time_s,roll_deg,pitch_deg,yaw_deg
1779965538.4051123,0.16998007676244634,6.062257458598534,-45.99263529940925
1779965538.407106,0.17153391087601913,6.0251782028470275,-45.99155367355914
1779965538.4090998,0.17311671144672316,5.988077184833828,-45.99041514911945
1779965538.4110918,0.17465202295014048,5.950905967215087,-45.98901062501477
1779965538.4130876,0.17637011008989714,5.913709790226746,-45.98785429588418
1779965538.41508,0.17828669115775464,5.876707882488058,-45.9867134284453
1779965538.417072,0.1803906384714706,5.840098999656574,-45.98557574553338
1779965538.4190774,0.18267627777606113,5.803925791851122,-45.984447461335925
1779965538.4211183,0.18519675290317905,5.767732716709185,-45.983330623409465
1779965538.4231553,0.18790618876076626,5.730995773977055,-45.98222769812074
1779965538.4251466,0.1907461671550852,5.694164324781849,-45.981125011570725
1779965538.4271603,0.19378196017157218,5.6574799083505205,-45.98003135502435
1779965538.429167,0.19699479949155294,5.620616767940037,-45.97893678098707
1779965538.4311585,0.20041204386275105,5.583252669391732,-45.977868975967105
1779965538.4331458,0.2039740029208514,5.545426844604852,-45.97682400453638
1779965538.4351375,0.20764445633059714,5.507634462137131,-45.97579536644529
1779965538.4371243,0.21127777002285242,5.470131562300207,-45.97478706977847
1779965538.4391146,0.21480535968265707,5.43268431247587,-45.97381110417859
1779965538.441101,0.21830096948468997,5.394941905079742,-45.9728625274808
1779965538.443088,0.22182002156987873,5.356671972470638,-45.97187009804211
1779965538.4450767,0.2251111051528747,5.318151395613198,-45.97083829257263
1779965538.4470644,0.22827362230420664,5.279519808817997,-45.96979780669345
1779965538.4490526,0.2311091289327238,5.240296293843328,-45.96880572390513
1779965538.451041,0.2337103251839747,5.200628472745173,-45.967894203874266
1779965538.45303,0.2360204777446849,5.16072045739089,-45.96703277158211
1779965538.4550192,0.23808279780413533,5.120479182388837,-45.96620857906544
1779965538.457008,0.23980410168701932,5.0803919651631135,-45.96541562029157
1779965538.458997,0.24123952193126916,5.040385647426811,-45.964640068220945
1779965538.4609885,0.2423825944367641,4.999805132254423,-45.96396975431221
1779965538.4629784,0.2432722249821317,4.9588448683127195,-45.96341609433615
1779965538.464968,0.2439582132708283,4.917595293891759,-45.96294424394422
1779965538.4669607,0.24449103561309365,4.875704428088668,-45.96253775598962
1779965538.46895,0.2448617056793742,4.833513328599918,-45.962183783880945
1779965538.4709463,0.24513065387256489,4.791409330194693,-45.96187179655354
1779965538.4729576,0.2454888994412563,4.748864363447276,-45.961643582861825
1779965538.4749641,0.24580046222193272,4.70595287943204,-45.96147768332598
1779965538.4769528,0.24620621666034662,4.663335075788449,-45.96133225092792
1779965538.4789414,0.24680529201093607,4.620974352205064,-45.96119615389517
1779965538.4809308,0.24755507869794194,4.578664954417273,-45.96102832626722
1779965538.4829204,0.24846368699007684,4.536257012966628,-45.960864785700096
1779965538.4849095,0.2497415863136026,4.493610762528224,-45.960685090115945
1779965538.4868996,0.2511784490423727,4.450740990209313,-45.96047873256816
1779965538.4888897,0.25289403218909634,4.4081187535272175,-45.96021805631181
1779965538.4908798,0.2548201385035936,4.365883200125428,-45.95988217285254
1779965538.492871,0.25697121355042124,4.323364056851948,-45.959484261665835
1779965538.494863,0.25934117637585197,4.281153666263465,-45.959036234266314
1779965538.4968631,0.2618603988354998,4.239823306442942,-45.95854891101317
1779965538.4988537,0.2645274128085993,4.198427353012292,-45.9580534878558
1779965538.5008445,0.2672458699297568,4.157215502230464,-45.95756050540712
1779965538.502838,0.26998789651245314,4.116583059233594,-45.957019655999396
1779965538.5048497,0.2727153945119244,4.075950372995817,-45.95642888283239
1779965538.506846,0.27538148909872995,4.035334593874733,-45.955788282059395
1779965538.5088358,0.2779199896969066,3.9950842980300867,-45.955129789322264
1779965538.5108314,0.28020086786278214,3.954962368559261,-45.95444174547388
1779965538.5128238,0.28224467923449403,3.9150803466250794,-45.95282635067484
1779965538.5148177,0.2841523498540534,3.87576827380714,-45.95212163991707
1779965538.516808,0.2857765129125272,3.8368707180469035,-45.95138011251988
1779965538.5187993,0.28720202097935665,3.798174027868569,-45.95060334932965
1779965538.5207942,0.2883267796246379,3.7596437469472432,-45.94981518535893
1779965538.5227847,0.28911606054594574,3.721123643813876,-45.949038568791174
1779965538.5247755,0.2896297590685165,3.6828183335146445,-45.94826098706035
1779965538.5267663,0.289907881613919,3.644865801686661,-45.947464748704405
1779965538.5287707,0.29001649540988633,3.6068166418162297,-45.94665023129389
1779965538.5307698,0.28993019048688445,3.568684433478032,-45.94581633742771
1779965538.5327606,0.2897132368045874,3.530784448457306,-45.944948931331744
1779965538.5347512,0.28935924571250277,3.4931145800790384,-45.94409022733198
1779965538.536758,0.288936832905551,3.4554334669378175,-45.94329073637541
1779965538.5387506,0.28848127736304213,3.4177669444580108,-45.942542284071386
1779965538.5407743,0.28808670957863164,3.380072811007216,-45.941804114483894
1779965538.542799,0.2877682795170941,3.3421003741235054,-45.94108651355703
1779965538.544821,0.28757020826827373,3.30382340688796,-45.94036897463536
1779965538.5468426,0.28748077196663324,3.2653416444644954,-45.93964698182182
1779965538.5488622,0.2875139423918498,3.22670026619564,-45.93893326612803
1779965538.5508811,0.28770640815259513,3.187966314378222,-45.93824320440879
1779965538.5528994,0.28812699680607173,3.149088499988636,-45.9375697693165
1779965538.5549173,0.28873053825760103,3.109719285492431,-45.93687763151077
1779965538.5569339,0.2895048227335642,3.0699478475256825,-45.93618583202025
1779965538.5589502,0.2903196485830685,3.030066617594613,-45.93550687972981
1779965538.5609655,0.2912763664180332,2.9893680765889226,-45.93484676075497
1779965538.5629847,0.29215600136602027,2.9480700294512348,-45.9342070303432
1779965538.564999,0.29301649417106324,2.906469450644772,-45.933564833290774
1779965538.567018,0.29410076714813616,2.863974371829393,-45.93284740777676
1779965538.5690312,0.2948935907569112,2.8217784426328367,-45.931993350442625
1779965538.5710516,0.29539934687146796,2.7815598729475903,-45.93109924150122
1779965538.5730634,0.29571593371430027,2.7425353075980974,-45.93025035484735
1779965538.5750792,0.29592021232384885,2.7024129260701457,-45.929602602009545
1779965538.5770903,0.2958135214838252,2.6602950933647667,-45.92913140738264
1779965538.5791001,0.2952024310688589,2.6182741521530417,-45.92886962179487
1779965538.5811095,0.2943710892680232,2.5774700663595205,-45.92884989882259
1779965538.5831208,0.2930234028040641,2.5365062884882392,-45.92894802219917
1779965538.5851293,0.29128454442702695,2.4936723124610363,-45.929111331529505
1779965538.5871377,0.2892983358587115,2.4486945820522656,-45.929246601900346
1779965538.589145,0.28691503537629465,2.40634608439633,-45.9294566963678
1779965538.591152,0.28439962264613616,2.366688081659515,-45.92973786420062
1779965538.5931582,0.28147125925472766,2.327158300961109,-45.930164704171766
1779965538.5951662,0.2782690537620934,2.287147790223354,-45.93084074907934
1779965538.5971777,0.27527617781460095,2.2463604786636338,-45.93162316631335
1779965538.5991833,0.2722427151442393,2.205560888132265,-45.93243321535712
1779965538.6011899,0.2695058876607208,2.1640023082348376,-45.93319348267373
1779965538.603195,0.26653545640696535,2.122821374450277,-45.93388692970613
1779965538.605216,0.2634511754163894,2.08081504269612,-45.93459686869597
1779965538.6072252,0.26081677735260905,2.0375350764215536,-45.93539333530714
1779965538.6092293,0.2583380351724428,1.995364254461813,-45.93630188658832
1779965538.611235,0.2564320097035521,1.9548817177937927,-45.93723086832282
1779965538.6132486,0.25448987430830355,1.9171623812991698,-45.93850685272869
1779965538.6152523,0.252783135602865,1.8805275170502442,-45.939331309888324
1779965538.6172838,0.25143530963078775,1.8416612847128382,-45.940267247466515
1779965538.6192842,0.2504399077240304,1.8003890744700333,-45.94137914640003
1779965538.6212862,0.2495280705235047,1.7602952042507425,-45.942729926315636
1779965538.6232927,0.24894872615388025,1.7214763208466437,-45.944305044336154
1779965538.6252918,0.24845274265209122,1.6825550316010176,-45.94608475167657
1779965538.6272907,0.24769138362406398,1.6448427151562792,-45.94801395726356
1779965538.6292915,0.24699522770419685,1.6079222407572513,-45.949840092201974
1779965538.6312902,0.24628224546737307,1.5718562147775743,-45.95140454356408
1779965538.633289,0.24545832126810258,1.537257365708912,-45.95269505154341
1779965538.635289,0.24452062170048788,1.5034822882445975,-45.95384161117205
1779965538.6372995,0.24342947897660303,1.4697912332212788,-45.955131184995146
1779965538.6393025,0.24218659669816162,1.4355419911346141,-45.95669025622079
1779965538.641302,0.2410358430183252,1.3992917882187461,-45.95851846924891
1779965538.6433024,0.2394412833106643,1.3625395979749317,-45.96030784165223
1779965538.6453004,0.23744081047524962,1.3286605644025422,-45.961903326789894
1779965538.6472983,0.23521895410122165,1.2952006856939517,-45.96332793077233
1779965538.6492958,0.2324881402017933,1.2606616733987064,-45.96470870256035
1779965538.6512933,0.22967591149204106,1.228370707960948,-45.96612175997094
1779965538.6532903,0.2270950555599581,1.197648383913195,-45.96750484736372
1779965538.655287,0.2243508256775462,1.1658515575739465,-45.9687556631307
1779965538.6572838,0.22129856585732383,1.1332002550816778,-45.96979388850116
1779965538.6592808,0.21782020400817206,1.0983876514426745,-45.97071786248651
1779965538.6612773,0.213980244748414,1.0616294474072332,-45.971769470839966
1779965538.6632802,0.20998053622459123,1.0261919031373257,-45.973060458555345
1779965538.6652875,0.20600105303965877,0.9907754473492963,-45.974523482882766
1779965538.6672835,0.20207088328893016,0.9545503834959495,-45.975983534618614
1779965538.66928,0.19811786886895577,0.9207982114542428,-45.977309531798284
1779965538.6712763,0.19397709490914614,0.8879721827354307,-45.9784205850882
1779965538.673273,0.18981816702388105,0.8527959817659768,-45.97939422903346
1779965538.675269,0.1853983158993393,0.8175630655692168,-45.98039372455672
1779965538.6772645,0.1806235863008307,0.7825233542076869,-45.98153590792222
1779965538.6792603,0.17614626300859942,0.7454446226444359,-45.9828813733705
1779965538.681256,0.17214874645252431,0.7067849884991066,-45.984380498427264
1779965538.6832519,0.16807687841693794,0.6680710736916611,-45.98598819242907
1779965538.6852474,0.1637216483990139,0.6302891782225005,-45.987612271049464
1779965538.6872432,0.15939218165355049,0.5942294846979802,-45.98929561396275
1779965538.689239,0.15511049285078463,0.5585469870605339,-45.991047625930754
1779965538.6912346,0.15094158531832155,0.5224079941712803,-45.99278876681878
1779965538.69323,0.1469347985698788,0.48726508576962346,-45.9944703501987
1779965538.6952255,0.14304658292036876,0.4516722727650062,-45.996166314600174
1779965538.6972218,0.139088132249116,0.4135926856745873,-45.9979222106082
1779965538.69922,0.13509255080772173,0.37449448411486846,-45.99968453277388
1779965538.7012193,0.13107394279698906,0.33539584834783326,-46.00136187976948
1779965538.7032154,0.12694570055319507,0.2970774581128646,-46.00294867470241
1779965538.7052112,0.12273597759411486,0.2606400900808113,-46.004559551116685
1779965538.7072148,0.11859632784485266,0.22522289247311011,-46.00634412418966
1779965538.7092102,0.11439134394966846,0.1901404243576464,-46.008320439519494
1779965538.7112055,0.11016675847659455,0.15583757492483868,-46.01043077842988
1779965538.7132008,0.10567551783550455,0.12208177434194134,-46.01265209998251
1779965538.7152758,0.10103322235170908,0.08764785852995838,-46.014534192071565
1779965538.7172828,0.09614538042321691,0.052267404118564245,-46.01611802422109
1779965538.7192764,0.09075418364735602,0.016179651016290836,-46.017377199309095
1779965538.72127,0.08523493335415394,-0.020465620104555687,-46.01855357711185
1779965538.723263,0.07973452872246035,-0.05617783831059189,-46.01992414836948
1779965538.7252588,0.07429137774789511,-0.09007126070292956,-46.021620394341156
1779965538.7272513,0.06877152170898972,-0.12254783992451045,-46.02342568717765
1779965538.7292442,0.06280378217720957,-0.15329344258599484,-46.025154326292984
1779965538.731242,0.05648172416956872,-0.18336662373351836,-46.026745939172486
1779965538.7332492,0.05004573416713476,-0.21345938371969206,-46.02821673475043
1779965538.7352414,0.043449741142241774,-0.24324334535453024,-46.029624332481795
1779965538.7372408,0.037296178677981094,-0.27380552067814723,-46.0310449209665
1779965538.7392344,0.031106782220188235,-0.3052755818241826,-46.032605289832816
1779965538.7412336,0.024759437167875167,-0.33607085780988544,-46.03436629126671
1779965538.7432272,0.018639025914375804,-0.3659331423291922,-46.03639110862926
1779965538.7452202,0.012679452033234158,-0.39417435326240746,-46.03865804508414
1779965538.747212,0.006406442328701927,-0.42034442677982525,-46.04102735130053
1779965538.7492042,0.00040514121927791237,-0.44567730780385234,-46.043436580992385
1779965538.7511966,-0.005320435989206378,-0.4716380932557755,-46.04585344373752
1779965538.7531888,-0.010803793975396582,-0.4973611302530878,-46.04829583664738
1779965538.7551816,-0.01608951858579632,-0.5222759392963252,-46.05067336157258
1779965538.757174,-0.021236923154759963,-0.5477123940418448,-46.053006819675346
1779965538.7591696,-0.02622731634406165,-0.5748797722137539,-46.05536516136467
1779965538.7611625,-0.031043693841925502,-0.6031908186957747,-46.05763221926931
1779965538.7631552,-0.03601925458035973,-0.6297696950986055,-46.059755186294105
1779965538.7651477,-0.04071713080262315,-0.6545937221621901,-46.06183056013218
1779965538.7671404,-0.04532461537666201,-0.6787126898952591,-46.06403004952753
