time_s,photo_err,valid_frac,latency_ms
87.602,13.4821,0.3564,160.23
87.747,13.6705,0.3585,109.42
87.942,13.6300,0.3553,161.92
88.087,13.3665,0.3314,109.70
88.315,14.3911,0.3147,161.54
88.537,14.7937,0.2854,103.95
88.905,13.7873,0.2948,142.11
89.100,13.9241,0.3038,160.01
89.253,14.8012,0.3162,114.78
89.468,13.9576,0.3272,168.79
89.630,13.2089,0.3426,123.20
89.825,13.0936,0.3522,160.42
