time_s,photo_err,valid_frac,latency_ms
73.428,12.8672,0.2522,43.92
73.594,13.6527,0.2500,45.26
73.810,13.6012,0.2458,42.65
74.063,13.3414,0.2446,43.73
74.370,12.6780,0.2542,43.48
74.579,13.7341,0.2425,47.95
74.691,13.1276,0.2389,48.83
74.907,13.4465,0.2256,45.23
75.149,13.5366,0.2255,48.71
75.457,12.9570,0.2404,51.68
75.746,12.4959,0.2577,45.82
76.037,12.7019,0.2607,44.67
76.319,11.5221,0.2494,44.12
76.632,12.1707,0.2378,48.94
76.818,12.5017,0.2344,43.58
76.924,13.4163,0.2322,47.10
77.075,13.2771,0.2320,45.68
77.266,13.8339,0.2284,51.43
77.371,13.2192,0.2259,42.18
77.571,13.3604,0.2221,49.30
77.674,12.9553,0.2203,47.70
77.822,13.5701,0.2209,45.29
78.015,13.1985,0.2238,63.42
78.132,12.9834,0.2297,50.50
78.262,14.7790,0.2311,42.49
78.447,13.6095,0.2360,45.77
78.555,13.7985,0.2358,44.85
78.705,13.1898,0.2365,50.17
78.894,13.5404,0.2393,47.58
79.010,12.9309,0.2468,44.05
79.199,12.7585,0.2509,61.27
79.437,12.7903,0.2575,42.50
79.710,13.8722,0.2535,38.84
79.873,12.8458,0.2560,43.08
80.082,12.6450,0.2470,50.43
80.186,13.0351,0.2415,41.62
80.395,13.6302,0.2334,67.93
80.497,13.2581,0.2304,44.68
80.695,12.5442,0.2314,64.91
80.796,12.6355,0.2345,50.89
80.930,12.1366,0.2459,48.23
81.150,11.4754,0.2563,43.70
81.251,11.6288,0.2716,49.59
81.437,11.8768,0.2726,72.63
81.550,12.4956,0.2677,44.85
81.735,13.2781,0.2574,75.83
81.839,13.5177,0.2361,44.77
81.971,13.5433,0.2242,44.27
82.171,13.0863,0.2111,51.70
82.296,13.0630,0.2050,45.65
82.478,13.5907,0.2079,55.40
82.590,12.9673,0.2156,48.30
82.721,12.5752,0.2321,40.47
82.916,12.2717,0.2395,46.77
83.160,12.1821,0.2311,40.98
83.453,14.1186,0.2202,40.59
83.763,14.7539,0.2266,41.10
84.052,13.9269,0.2336,40.12
84.343,13.1731,0.2350,41.45
