time_s,photo_err,valid_frac,latency_ms
64.771,15.9928,0.3400,36.89
65.083,16.2244,0.3428,38.48
65.403,13.9865,0.4069,37.37
65.596,13.5914,0.3817,36.79
65.893,13.0195,0.3849,38.56
66.189,14.6208,0.3366,37.28
66.469,15.8154,0.3588,36.94
66.867,15.7288,0.3626,36.21
67.080,16.4535,0.3569,38.60
67.183,16.5081,0.3371,36.71
67.469,15.5505,0.3476,37.75
67.770,14.6959,0.3295,37.23
67.966,14.6016,0.3618,37.56
68.076,14.7854,0.3365,37.65
68.359,14.8550,0.3599,37.25
68.647,15.6095,0.3584,36.36
68.949,16.0113,0.3534,37.94
69.094,15.9688,0.3617,36.99
69.331,16.4285,0.3776,36.75
69.579,15.7391,0.4170,36.70
69.870,14.0868,0.4071,36.85
70.171,13.6518,0.3680,36.97
70.474,14.6841,0.2959,37.13
70.766,15.7543,0.3054,36.91
71.154,15.4361,0.3887,37.71
71.459,15.3159,0.3685,37.19
71.757,15.6685,0.3527,37.37
72.058,16.1276,0.3139,37.13
72.359,16.7586,0.3264,35.71
72.659,15.4336,0.3878,37.28
72.957,14.5982,0.3907,37.01
73.244,14.2478,0.3785,36.23
73.462,15.3109,0.4041,37.27
73.591,14.4931,0.3538,36.01
73.885,14.5980,0.3210,36.15
74.200,15.8421,0.3589,36.96
74.390,16.4015,0.3691,36.79
74.500,16.9165,0.3745,36.31
74.679,16.4206,0.3475,38.03
74.967,17.1349,0.3376,37.30
75.265,14.8294,0.3732,37.11
75.554,14.1751,0.3485,36.99
75.865,13.3683,0.3809,37.70
76.170,13.3938,0.3792,37.24
76.441,15.0077,0.3680,36.11
76.650,15.0114,0.3608,38.28
76.751,16.0043,0.3441,37.16
76.942,15.7915,0.3481,39.71
77.054,16.2900,0.3412,36.91
77.226,15.6220,0.3475,39.89
77.347,16.2133,0.3203,37.31
77.516,16.0045,0.3068,40.27
77.656,15.4974,0.3323,36.88
77.791,15.5569,0.3349,36.08
77.978,14.5781,0.3523,41.51
78.094,14.6442,0.3766,36.76
78.227,14.9289,0.3406,37.34
78.404,14.8938,0.3904,39.99
78.525,15.2865,0.3721,36.29
78.665,15.3132,0.3750,37.21
78.861,16.1328,0.3782,36.83
78.975,16.2390,0.3798,37.99
79.262,16.6691,0.3713,38.87
79.540,15.0072,0.3436,36.08
79.755,15.3358,0.3219,38.46
79.858,13.9977,0.3753,37.56
80.044,13.9158,0.3826,40.29
80.148,14.2741,0.3817,36.81
80.328,15.4222,0.3343,40.85
80.459,15.0355,0.3696,36.93
80.627,15.8253,0.3608,39.76
80.773,15.5184,0.3630,39.32
80.930,15.0868,0.3672,40.56
81.061,14.5774,0.4080,37.53
81.230,13.7941,0.4132,41.76
81.358,14.4910,0.3613,36.93
81.490,14.0507,0.3554,36.71
81.706,13.9240,0.3380,39.72
81.818,14.5952,0.3345,37.46
81.983,15.6060,0.3116,40.92
82.115,15.2114,0.3180,38.48
82.282,15.2276,0.3167,39.72
82.424,15.2973,0.3246,38.32
82.547,14.4688,0.3607,36.99
82.726,14.4391,0.3752,38.95
82.995,13.6775,0.3297,36.87
83.293,15.9552,0.3311,38.04
83.583,16.2209,0.3317,36.87
83.879,15.5965,0.3699,36.77
